ACCOUNT,ASSET,LOAN_ID,INITIALBALANCE,INTERESTRATE,LOANDATE,TERM,SCORE,STATE
3005196679,COP,12949,389012,0.28,10/10/22,16,706,ACT-2B-PAID
3362751457,COP,14315,147628,0.28,10/10/22,21,735,ERR-CANCL
3125820261,COP,14201,27114,0.28,10/10/22,21,800,ACT-CASHPICKUP
3993841899,COP,14071,203182,0.28,10/10/22,8,397,ACT-CASHPICKUP
3013048891,COP,14320,186712,0.28,10/10/22,14,857,ERR-CANCL
3714588266,COP,14743,48417,0.28,11/10/22,8,483,ERR-CANCL
3162625903,COP,13562,62869,0.28,11/10/22,21,715,ACT-PAID
3006267416,COP,4292,389012,0.28,11/10/22,16,555,ACT-2B-PAID
3026734614,COP,8259,272531,0.28,11/10/22,8,687,ACT-2B-PAID
3871691142,COP,13589,112602,0.28,12/10/22,21,864,ACT-CASHPICKUP
3792576002,COP,14724,160938,0.28,12/10/22,21,613,ACT-CASHPICKUP
3581400898,COP,13506,5023,0.28,12/10/22,21,397,ERR-CANCL
3150564613,COP,13061,64666,0.28,12/10/22,14,633,ACT-PAID
3021516441,COP,13756,95700,0.28,13/10/22,14,461,ACT-2B-PAID
3106426640,COP,12125,389012,0.28,16/10/22,16,729,ACT-2B-PAID
3924587159,COP,13453,73237,0.28,16/10/22,21,490,ERR-CANCL
3207389888,COP,14421,132517,0.28,17/10/22,21,637,ACT-CASHPICKUP
3106156903,COP,4802,389012,0.28,18/10/22,16,611,ERR-CANCL
3918012170,COP,14264,260855,0.28,18/10/22,21,854,ERR-CANCL
3681152369,COP,14528,80001,0.28,18/10/22,14,668,ACT-2B-PAID
3443200310,COP,14034,121770,0.28,18/10/22,21,377,ERR-CANCL
3271229149,COP,14487,44201,0.28,20/10/22,14,727,ACT-2B-PAID
3107006835,COP,3184,389012,0.28,20/10/22,16,613,ERR-CANCL
3905149268,COP,14587,248889,0.28,22/10/22,21,364,ACT-CASHPICKUP
3150395553,COP,13164,18976,0.28,24/10/22,21,874,ACT-CASHPICKUP
3958852938,COP,14614,249847,0.28,25/10/22,14,829,ACT-2B-PAID
3402261915,COP,13891,2196,0.28,25/10/22,21,720,ERR-CANCL
3038562532,COP,13148,169224,0.28,25/10/22,21,423,ACT-CASHPICKUP
3944806692,COP,14953,188367,0.28,25/10/22,21,676,ERR-CANCL
3294547686,COP,13496,244320,0.28,25/10/22,21,361,ACT-PAID
3772654268,COP,13582,134377,0.28,25/10/22,8,553,ACT-CASHPICKUP
3238549108,COP,14161,19477,0.28,25/10/22,21,497,ERR-CANCL
3556989112,COP,14060,226085,0.28,26/10/22,14,565,ACT-PAID
3093162300,COP,13314,37109,0.28,26/10/22,8,639,ACT-PAID
3126266952,COP,13528,195204,0.28,26/10/22,21,605,ERR-CANCL
3992086695,COP,13801,78559,0.28,26/10/22,21,747,ERR-CANCL
3326534054,COP,13987,15113,0.28,27/10/22,8,542,ACT-PAID
3671445404,COP,13579,45173,0.28,27/10/22,21,538,ACT-CASHPICKUP
3992040921,COP,14444,179922,0.28,27/10/22,14,841,ACT-CASHPICKUP
3085547154,COP,13024,68374,0.28,27/10/22,21,543,ERR-CANCL
3458457465,COP,13369,64954,0.28,28/10/22,21,732,ACT-PAID
3295619681,COP,14892,177323,0.28,29/10/22,21,809,ACT-PAID
3168625085,COP,13917,246786,0.28,30/10/22,21,763,ERR-CANCL
3826904917,COP,14091,34711,0.28,31/10/22,21,498,ERR-CANCL
3231021801,COP,14972,108683,0.28,1/11/22,21,451,ACT-CASHPICKUP
3295163711,COP,14463,128152,0.28,2/11/22,14,565,ACT-CASHPICKUP
3130517497,COP,13160,10698,0.28,2/11/22,21,390,ACT-CASHPICKUP
3106065310,COP,13997,236977,0.28,2/11/22,21,407,ERR-CANCL
3926460476,COP,13260,157014,0.28,2/11/22,8,887,ACT-PAID
3643395703,COP,13001,80619,0.28,3/11/22,21,529,ERR-CANCL
3569889884,COP,13797,190438,0.28,3/11/22,8,428,ACT-PAID
3287141559,COP,14360,68274,0.28,3/11/22,21,777,ERR-CANCL
3245399848,COP,13864,261006,0.28,3/11/22,21,875,ERR-CANCL
3967227691,COP,14937,211393,0.28,3/11/22,14,424,ERR-CANCL
3967120978,COP,13417,51421,0.28,4/11/22,8,499,ACT-CASHPICKUP
3142633345,COP,14427,261496,0.28,4/11/22,21,497,ACT-PAID
3387113375,COP,13852,15382,0.28,4/11/22,8,465,ACT-2B-PAID
3222829156,COP,13826,87109,0.28,4/11/22,14,579,ACT-CASHPICKUP
3240433104,COP,14879,29956,0.28,4/11/22,21,579,ACT-2B-PAID
3129083238,COP,13994,53547,0.28,4/11/22,8,399,ACT-CASHPICKUP
3007162106,COP,2244,389012,0.28,4/11/22,16,611,ACT-2B-PAID
